IBGE;RS;MACRO;Municipio;Casos;Obitos;Recuperados;Em_investigacao
4100103;18;NORTE;Abatiá;78;0;60;0
4100202;02;LESTE;Adrianópolis;179;4;159;0
4100301;02;LESTE;Agudos do Sul;78;0;72;1
4100400;02;LESTE;Almirante Tamandaré;1645;55;501;17
4100459;11;NOROESTE;Altamira do Paraná;13;1;9;0
4100509;12;NOROESTE;Altônia;184;2;63;0
4100608;14;NOROESTE;Alto Paraná;98;1;74;0
4100707;12;NOROESTE;Alto Piquiri;114;4;102;1
4100806;17;NORTE;Alvorada do Sul;58;5;4;1
4100905;14;NOROESTE;Amaporã;28;0;25;0
4101002;08;OESTE;Ampére;108;3;87;10
4101051;10;OESTE;Anahy;30;0;26;0
4101101;18;NORTE;Andirá;249;4;211;2
4101150;15;NOROESTE;Ângulo;54;1;43;1
4101200;01;LESTE;Antonina;362;7;315;0
4101309;06;LESTE;Antônio Olinto;83;1;67;1
4101408;16;NORTE;Apucarana;893;34;265;7
4101507;16;NORTE;Arapongas;2770;97;398;19
4101606;03;LESTE;Arapoti;226;1;211;3
4101655;22;NORTE;Arapuã;44;1;31;0
4101705;11;NOROESTE;Araruna;192;7;170;0
4101804;02;LESTE;Araucária;3910;61;3057;28
4101853;22;NORTE;Ariranha do Ivaí;21;1;17;0
4101903;17;NORTE;Assaí;271;11;230;1
4102000;20;OESTE;Assis Chateaubriand;483;7;402;1
4102109;15;NOROESTE;Astorga;424;6;358;3
4102208;15;NOROESTE;Atalaia;88;2;65;2
4102307;02;LESTE;Balsa Nova;221;5;197;1
4102406;18;NORTE;Bandeirantes;862;23;701;2
4102505;11;NOROESTE;Barbosa Ferraz;157;4;147;2
4102604;08;OESTE;Barracão;86;2;69;3
4102703;19;NORTE;Barra do Jacaré;15;0;1;1
4102752;08;OESTE;Bela Vista do Caroba;19;0;17;5
4102802;17;NORTE;Bela Vista do Paraíso;173;4;3;3
4102901;06;LESTE;Bituruna;44;1;27;0
4103008;11;NOROESTE;Boa Esperança;35;0;33;0
4103024;08;OESTE;Boa Esperança do Iguaçu;37;0;37;1
4103040;05;LESTE;Boa Ventura de São Roque;3;0;3;0
4103057;10;OESTE;Boa Vista da Aparecida;128;3;115;1
4103107;02;LESTE;Bocaiúva do Sul;209;3;174;2
4103156;08;OESTE;Bom Jesus do Sul;14;1;13;1
4103206;16;NORTE;Bom Sucesso;104;1;96;0
4103222;07;OESTE;Bom Sucesso do Sul;12;0;9;2
4103305;16;NORTE;Borrazópolis;70;1;52;0
4103354;10;OESTE;Braganey;55;2;46;0
4103370;12;NOROESTE;Brasilândia do Sul;39;0;6;2
4103404;17;NORTE;Cafeara;51;0;41;2
4103453;10;OESTE;Cafelândia;249;1;218;4
4103479;12;NOROESTE;Cafezal do Sul;28;0;25;0
4103503;16;NORTE;Califórnia;83;2;72;0
4103602;19;NORTE;Cambará;274;4;126;3
4103701;17;NORTE;Cambé;1836;30;151;45
4103800;16;NORTE;Cambira;76;2;60;3
4103909;11;NOROESTE;Campina da Lagoa;42;2;12;1
4103958;05;LESTE;Campina do Simão;5;1;4;0
4104006;02;LESTE;Campina Grande do Sul;947;22;729;8
4104055;10;OESTE;Campo Bonito;56;0;49;0
4104105;02;LESTE;Campo do Tenente;85;3;55;1
4104204;02;LESTE;Campo Largo;3000;75;1946;18
4104253;02;LESTE;Campo Magro;533;12;310;9
4104303;11;NOROESTE;Campo Mourão;1019;37;805;9
4104402;22;NORTE;Cândido de Abreu;46;0;41;0
4104428;05;LESTE;Candói;76;0;21;1
4104451;05;LESTE;Cantagalo;65;1;61;0
4104501;08;OESTE;Capanema;518;3;476;31
4104600;10;OESTE;Capitão Leônidas Marques;187;1;161;6
4104659;03;LESTE;Carambeí;349;5;285;46
4104709;19;NORTE;Carlópolis;87;2;82;3
4104808;10;OESTE;Cascavel;7583;136;6400;114
4104907;03;LESTE;Castro;985;11;854;39
4105003;10;OESTE;Catanduvas;75;1;70;2
4105102;17;NORTE;Centenário do Sul;149;3;137;0
4105201;02;LESTE;Cerro Azul;162;9;120;0
4105300;10;OESTE;Céu Azul;192;0;145;2
4105409;07;OESTE;Chopinzinho;117;2;90;4
4105508;13;NOROESTE;Cianorte;921;15;727;8
4105607;13;NOROESTE;Cidade Gaúcha;260;1;248;0
4105706;07;OESTE;Clevelândia;286;16;170;25
4105805;02;LESTE;Colombo;3490;136;2425;49
4105904;15;NOROESTE;Colorado;310;7;280;0
4106001;18;NORTE;Congonhinhas;24;4;18;0
4106100;19;NORTE;Conselheiro Mairinck;61;1;50;9
4106209;02;LESTE;Contenda;183;2;131;1
4106308;10;OESTE;Corbélia;319;7;218;2
4106407;18;NORTE;Cornélio Procópio;484;20;358;2
4106456;07;OESTE;Coronel Domingos Soares;222;0;199;124
4106506;07;OESTE;Coronel Vivida;154;2;129;12
4106555;11;NOROESTE;Corumbataí do Sul;61;1;53;0
4106571;08;OESTE;Cruzeiro do Iguaçu;99;3;90;4
4106605;12;NOROESTE;Cruzeiro do Oeste;130;0;95;0
4106704;14;NOROESTE;Cruzeiro do Sul;30;1;27;0
4106803;06;LESTE;Cruz Machado;39;1;24;0
4106852;22;NORTE;Cruzmaltina;47;1;41;0
4106902;02;LESTE;Curitiba;37363;1256;28681;664
4107009;21;LESTE;Curiúva;166;7;119;1
4107108;14;NOROESTE;Diamante do Norte;41;0;29;0
4107124;10;OESTE;Diamante do Sul;36;1;33;0
